transaction_id,payment_method,device_type,city_tier,network_type,hour_of_day,amount,amount_bucket,past_failed_attempts,success
TXN_011513,UPI,iOS,Tier 2,5G,17,99.22,low,0,1
TXN_011514,UPI,Android,Tier 1,4G,21,4662.81,high,1,1
TXN_011515,UPI,Android,Tier 1,4G,1,1244.63,med,0,1
TXN_011516,Card,Android,Tier 3,4G,3,1481.95,med,0,1
TXN_011517,Wallet,Desktop,Tier 2,5G,21,2425.08,high,0,1
TXN_011518,UPI,Android,Tier 1,5G,17,648.24,med,0,1
TXN_011519,Wallet,Android,Tier 3,5G,3,112.97,low,0,1
TXN_011520,UPI,Android,Tier 2,4G,22,107.28,low,1,1
TXN_011521,Wallet,Android,Tier 1,4G,16,1737.92,med,0,1
TXN_011522,UPI,Android,Tier 1,4G,15,652.39,med,0,1
TXN_011523,UPI,iOS,Tier 1,Wifi,15,3817.02,high,1,1
TXN_011524,UPI,Android,Tier 3,4G,8,952.13,med,0,0
TXN_011525,UPI,iOS,Tier 1,5G,9,2005.52,high,0,1
TXN_011526,UPI,iOS,Tier 1,4G,6,2730.31,high,0,1
TXN_011527,UPI,Android,Tier 3,5G,8,2669.2,high,1,1
TXN_011528,Netbanking,Android,Tier 1,4G,22,681.69,med,1,1
TXN_011529,UPI,Android,Tier 2,4G,15,1013.35,med,1,1
TXN_011530,UPI,Desktop,Tier 1,4G,16,2442.18,high,0,1
TXN_011531,Card,Android,Tier 2,4G,22,1223.72,med,0,1
TXN_011532,Card,Android,Tier 1,4G,23,108.37,low,0,1
TXN_011533,UPI,Android,Tier 1,Wifi,15,67.35,low,0,1
TXN_011534,UPI,Android,Tier 2,4G,15,436.03,low,1,1
TXN_011535,UPI,Android,Tier 2,4G,19,2786.77,high,1,1
TXN_011536,UPI,Android,Tier 2,5G,20,926.8,med,0,1
TXN_011537,Card,iOS,Tier 2,5G,18,6071.8,high,0,1
TXN_011538,UPI,iOS,Tier 2,4G,9,2351.94,high,3,0
TXN_011539,UPI,Android,Tier 2,5G,1,185.02,low,0,1
TXN_011540,Card,Android,Tier 2,5G,2,3054.14,high,1,1
TXN_011541,UPI,iOS,Tier 2,4G,6,209.48,low,0,1
TXN_011542,Card,Android,Tier 2,5G,23,6657.08,high,0,1
TXN_011543,UPI,iOS,Tier 2,4G,1,1677.26,med,0,1
TXN_011544,PayLater,Android,Tier 1,4G,12,5034.31,high,0,1
TXN_011545,UPI,Android,Tier 1,3G,3,1739.27,med,0,1
TXN_011546,Netbanking,Android,Tier 1,4G,14,887.55,med,0,0
TXN_011547,Card,Android,Tier 3,4G,17,1072.41,med,0,1
TXN_011548,UPI,iOS,Tier 2,3G,6,318.09,low,1,1
TXN_011549,Card,Android,Tier 2,5G,17,1159.9,med,0,0
TXN_011550,PayLater,Android,Tier 1,5G,6,1036.72,med,0,1
TXN_011551,Card,Android,Tier 1,5G,23,1758.82,med,0,1
TXN_011552,Netbanking,iOS,Tier 3,5G,8,691.14,med,1,1
TXN_011553,Wallet,Android,Tier 3,5G,11,317.54,low,1,0
TXN_011554,UPI,iOS,Tier 1,4G,0,891.8,med,1,1
TXN_011555,UPI,Android,Tier 3,4G,1,326.73,low,0,1
TXN_011556,Card,Android,Tier 2,4G,17,303.95,low,1,1
TXN_011557,UPI,iOS,Tier 1,4G,13,197.96,low,4,1
TXN_011558,Netbanking,Android,Tier 2,4G,22,765.89,med,0,1
TXN_011559,Wallet,Android,Tier 2,5G,5,1043.87,med,0,1
TXN_011560,UPI,Android,Tier 3,4G,10,464.69,low,1,1
TXN_011561,UPI,Android,Tier 1,4G,18,1400.33,med,0,1
TXN_011562,Netbanking,Android,Tier 1,5G,7,804.69,med,1,1
TXN_011563,UPI,Android,Tier 1,5G,20,593.54,med,0,1
TXN_011564,Netbanking,Android,Tier 1,Wifi,4,3289.28,high,0,0
TXN_011565,UPI,Android,Tier 2,Wifi,20,428.06,low,0,0
TXN_011566,Card,Android,Tier 1,3G,23,607.53,med,0,1
TXN_011567,UPI,Android,Tier 2,5G,6,1292.55,med,1,1
TXN_011568,Card,Desktop,Tier 1,5G,22,2181.58,high,0,1
TXN_011569,UPI,iOS,Tier 2,Wifi,3,254.46,low,0,1
TXN_011570,Card,Android,Tier 2,Wifi,14,1037.86,med,0,1
TXN_011571,UPI,Android,Tier 2,5G,21,830.44,med,0,1
TXN_011572,Card,Desktop,Tier 1,5G,0,2060.64,high,0,0
TXN_011573,Netbanking,Android,Tier 1,4G,21,425.03,low,0,1
TXN_011574,UPI,Android,Tier 1,Wifi,4,923.72,med,0,1
TXN_011575,UPI,iOS,Tier 1,5G,16,6318.68,high,0,1
TXN_011576,UPI,Android,Tier 1,Wifi,12,544.98,med,0,1
TXN_011577,Card,Android,Tier 1,4G,16,3432.81,high,3,1
TXN_011578,Card,Desktop,Tier 2,4G,18,587.41,med,0,1
TXN_011579,UPI,Android,Tier 3,4G,3,773.61,med,0,1
TXN_011580,UPI,Android,Tier 1,Wifi,16,566.48,med,0,1
TXN_011581,UPI,Android,Tier 3,Wifi,11,266.2,low,0,1
TXN_011582,Card,Android,Tier 1,4G,22,269.46,low,0,1
TXN_011583,UPI,iOS,Tier 2,5G,17,1968.01,med,0,1
TXN_011584,PayLater,Android,Tier 2,4G,10,487.96,low,0,1
TXN_011585,UPI,Android,Tier 3,4G,3,378.83,low,0,1
TXN_011586,Card,Desktop,Tier 1,4G,11,402.83,low,1,1
TXN_011587,UPI,Android,Tier 1,5G,8,130.55,low,0,1
TXN_011588,UPI,Android,Tier 1,Wifi,23,422.18,low,0,1
TXN_011589,Card,Android,Tier 2,4G,17,701.85,med,0,0
TXN_011590,Card,Android,Tier 3,5G,8,283.71,low,1,1
TXN_011591,PayLater,Android,Tier 3,5G,0,1296.72,med,0,1
TXN_011592,UPI,Desktop,Tier 2,4G,5,752.67,med,3,0
TXN_011593,UPI,iOS,Tier 2,3G,18,376.97,low,3,1
TXN_011594,Card,Android,Tier 3,Wifi,0,1100.59,med,4,0
TXN_011595,Card,Android,Tier 2,4G,7,889.36,med,3,0
TXN_011596,UPI,Android,Tier 1,5G,5,2136.89,high,0,1
TXN_011597,UPI,Android,Tier 3,4G,3,183.74,low,0,1
TXN_011598,UPI,Android,Tier 1,5G,2,5705.45,high,0,1
TXN_011599,Wallet,Desktop,Tier 1,5G,12,668.19,med,1,1
TXN_011600,UPI,Android,Tier 1,4G,1,2366.81,high,0,1
TXN_011601,UPI,Android,Tier 2,Wifi,12,233.28,low,0,1
TXN_011602,UPI,Android,Tier 2,5G,20,891.58,med,2,1
TXN_011603,UPI,Android,Tier 1,3G,14,565.85,med,0,1
TXN_011604,UPI,Android,Tier 2,4G,7,1482.01,med,1,1
TXN_011605,UPI,Android,Tier 2,Wifi,11,5155.57,high,0,1
TXN_011606,UPI,Android,Tier 3,Wifi,7,963.37,med,0,1
TXN_011607,Netbanking,Android,Tier 2,4G,18,479.54,low,0,0
TXN_011608,UPI,Android,Tier 2,4G,8,954.71,med,0,1
TXN_011609,UPI,Android,Tier 2,Wifi,9,63.35,low,2,1
TXN_011610,Wallet,Android,Tier 1,5G,20,541.41,med,0,1
TXN_011611,Card,iOS,Tier 1,4G,22,75.28,low,0,1
TXN_011612,UPI,Android,Tier 2,Wifi,6,2839.98,high,0,1
TXN_011613,UPI,Android,Tier 1,4G,9,2401.2,high,2,0
TXN_011614,UPI,Android,Tier 1,4G,2,1863.55,med,0,1
TXN_011615,Card,iOS,Tier 2,5G,1,334.97,low,0,1
TXN_011616,PayLater,Android,Tier 1,5G,6,180.88,low,0,1
TXN_011617,Card,Android,Tier 1,4G,9,2792.64,high,0,0
TXN_011618,Card,Android,Tier 2,5G,7,18399.66,ultra_high,0,1
TXN_011619,Card,Android,Tier 2,5G,11,1922.68,med,3,0
TXN_011620,UPI,Android,Tier 3,5G,19,5551.21,high,0,1
TXN_011621,UPI,Android,Tier 2,5G,16,1130.79,med,0,1
TXN_011622,Card,iOS,Tier 2,4G,21,632.72,med,1,0
TXN_011623,PayLater,Android,Tier 1,Wifi,8,6950.93,high,0,1
TXN_011624,UPI,Android,Tier 1,4G,19,837.28,med,0,1
TXN_011625,Card,Android,Tier 1,3G,2,2929.02,high,1,0
TXN_011626,UPI,Android,Tier 3,4G,21,757.12,med,0,0
TXN_011627,UPI,Android,Tier 2,4G,21,626.73,med,0,1
TXN_011628,UPI,iOS,Tier 3,4G,3,704.97,med,0,1
TXN_011629,UPI,Desktop,Tier 2,5G,6,1486.01,med,0,1
TXN_011630,Netbanking,Android,Tier 1,4G,17,545.07,med,0,1
TXN_011631,UPI,Android,Tier 2,5G,16,10861.91,ultra_high,0,1
TXN_011632,Card,Android,Tier 2,Wifi,21,1289.4,med,0,1
TXN_011633,Netbanking,Android,Tier 2,4G,2,726.47,med,3,1
TXN_011634,Wallet,Android,Tier 2,4G,2,398.86,low,0,1
TXN_011635,UPI,iOS,Tier 3,Wifi,12,1801.03,med,0,1
TXN_011636,UPI,iOS,Tier 3,4G,16,60.23,low,0,1
TXN_011637,UPI,Android,Tier 3,4G,17,714.17,med,0,1
TXN_011638,PayLater,Android,Tier 1,4G,18,2292.88,high,1,1
TXN_011639,Wallet,Android,Tier 1,4G,16,229.23,low,0,0
TXN_011640,UPI,Android,Tier 1,4G,23,1432.2,med,1,1
TXN_011641,Netbanking,Android,Tier 1,5G,15,1620.1,med,2,1
TXN_011642,UPI,Android,Tier 2,4G,15,638.14,med,0,0
TXN_011643,Card,Android,Tier 2,Wifi,21,1069.54,med,0,1
TXN_011644,UPI,Android,Tier 2,4G,0,815.35,med,1,1
TXN_011645,Netbanking,Android,Tier 3,5G,13,297.89,low,1,0
TXN_011646,UPI,Android,Tier 3,4G,14,6978.24,high,0,0
TXN_011647,Netbanking,Android,Tier 1,Wifi,3,1497.98,med,0,0
TXN_011648,Netbanking,Android,Tier 3,5G,19,787.52,med,0,1
TXN_011649,Card,Android,Tier 2,4G,20,862.98,med,2,0
TXN_011650,UPI,Android,Tier 2,4G,10,2601.28,high,0,1
TXN_011651,UPI,Android,Tier 3,4G,17,106.87,low,2,1
TXN_011652,UPI,Android,Tier 1,4G,16,728.5,med,0,1
TXN_011653,UPI,Android,Tier 3,5G,8,198.96,low,0,1
TXN_011654,UPI,Android,Tier 2,4G,20,2218.19,high,1,1
TXN_011655,Wallet,Desktop,Tier 3,3G,23,2232.84,high,0,1
TXN_011656,Card,Android,Tier 3,4G,13,618.97,med,0,1
TXN_011657,UPI,Android,Tier 2,Wifi,2,1574.62,med,1,1
TXN_011658,UPI,Android,Tier 1,4G,19,1462.91,med,1,1
TXN_011659,UPI,Android,Tier 1,4G,19,6484.52,high,0,1
TXN_011660,Card,iOS,Tier 1,3G,21,1775.81,med,2,0
TXN_011661,UPI,Android,Tier 1,Wifi,3,230.77,low,0,1
TXN_011662,Wallet,Android,Tier 3,5G,15,374.6,low,0,1
TXN_011663,UPI,Android,Tier 1,5G,20,1034.58,med,0,1
TXN_011664,PayLater,Android,Tier 3,3G,11,77.55,low,0,0
TXN_011665,Netbanking,iOS,Tier 2,5G,20,3624.87,high,2,1
TXN_011666,UPI,Android,Tier 1,4G,7,1386.21,med,2,0
TXN_011667,Wallet,Android,Tier 2,4G,8,125.79,low,0,1
TXN_011668,UPI,iOS,Tier 2,5G,10,860.83,med,3,1
TXN_011669,Netbanking,iOS,Tier 2,5G,23,20977.11,ultra_high,0,0
TXN_011670,UPI,Android,Tier 2,5G,4,483.35,low,1,1
TXN_011671,Wallet,Android,Tier 1,4G,11,157.45,low,0,1
TXN_011672,Netbanking,Android,Tier 2,Wifi,21,465.44,low,0,1
TXN_011673,Netbanking,Android,Tier 2,5G,19,112.92,low,0,0
TXN_011674,Netbanking,Desktop,Tier 3,5G,1,1244.84,med,1,0
TXN_011675,UPI,Android,Tier 3,4G,10,258.06,low,0,1
TXN_011676,UPI,Android,Tier 1,3G,10,1970.83,med,4,0
TXN_011677,UPI,iOS,Tier 1,5G,20,1207.23,med,1,1
TXN_011678,UPI,Android,Tier 2,5G,0,406.74,low,0,1
TXN_011679,Card,Android,Tier 3,Wifi,16,153.22,low,0,1
TXN_011680,UPI,Desktop,Tier 2,Wifi,16,1301.63,med,0,1
TXN_011681,PayLater,iOS,Tier 1,4G,3,988.69,med,0,1
TXN_011682,Card,iOS,Tier 1,Wifi,13,141.94,low,0,1
TXN_011683,Netbanking,Android,Tier 1,5G,4,346.83,low,0,0
TXN_011684,UPI,iOS,Tier 1,4G,3,138.7,low,0,1
TXN_011685,Netbanking,Android,Tier 2,4G,5,299.19,low,1,0
TXN_011686,Wallet,Android,Tier 2,4G,17,670.67,med,0,1
TXN_011687,UPI,Desktop,Tier 1,5G,20,409.16,low,0,1
TXN_011688,Card,Android,Tier 1,5G,12,199.89,low,0,1
TXN_011689,Netbanking,iOS,Tier 1,4G,5,1344.9,med,2,1
TXN_011690,UPI,Android,Tier 3,Wifi,14,1673.4,med,0,1
TXN_011691,UPI,Android,Tier 2,Wifi,4,2170.37,high,1,1
TXN_011692,UPI,iOS,Tier 3,5G,5,6439.6,high,3,1
TXN_011693,UPI,Android,Tier 2,Wifi,23,1459.75,med,0,1
TXN_011694,UPI,Android,Tier 1,Wifi,17,266.22,low,0,1
TXN_011695,UPI,Android,Tier 1,4G,6,426.98,low,2,0
TXN_011696,UPI,Desktop,Tier 2,Wifi,5,1369.83,med,1,1
TXN_011697,UPI,Android,Tier 2,Wifi,7,1413.12,med,0,1
TXN_011698,PayLater,Android,Tier 2,4G,23,306.74,low,0,0
TXN_011699,UPI,Android,Tier 2,3G,4,2539.97,high,0,1
TXN_011700,PayLater,Desktop,Tier 2,4G,3,219.86,low,2,0
TXN_011701,UPI,Android,Tier 1,5G,18,142.31,low,0,1
TXN_011702,UPI,iOS,Tier 3,5G,9,1778.63,med,0,1
TXN_011703,UPI,Android,Tier 2,Wifi,8,391.47,low,0,1
TXN_011704,UPI,Android,Tier 1,5G,22,463.72,low,0,1
TXN_011705,UPI,Android,Tier 2,5G,0,424.66,low,3,0
TXN_011706,Card,Android,Tier 2,5G,18,1056.77,med,0,1
TXN_011707,UPI,Android,Tier 1,5G,11,572.04,med,0,1
TXN_011708,Card,Desktop,Tier 2,4G,18,866.59,med,0,1
TXN_011709,Card,iOS,Tier 1,5G,12,2290.15,high,2,1
TXN_011710,UPI,Android,Tier 1,Wifi,21,484.09,low,0,1
TXN_011711,UPI,Android,Tier 1,4G,14,1552.69,med,0,1
TXN_011712,Netbanking,iOS,Tier 1,5G,1,5517.04,high,0,1
TXN_011713,UPI,Android,Tier 1,4G,19,230.56,low,0,1
TXN_011714,UPI,Android,Tier 1,5G,11,4238.15,high,3,1
TXN_011715,PayLater,Android,Tier 3,4G,17,285.62,low,3,1
TXN_011716,UPI,Android,Tier 1,4G,20,353.84,low,4,1
TXN_011717,Card,iOS,Tier 2,4G,3,141.96,low,0,0
TXN_011718,PayLater,Android,Tier 1,4G,19,450.96,low,2,0
TXN_011719,UPI,Android,Tier 3,4G,11,1362.69,med,0,1
TXN_011720,UPI,Android,Tier 1,4G,19,2058.2,high,0,1
TXN_011721,UPI,iOS,Tier 1,4G,12,2749.55,high,0,1
TXN_011722,UPI,Android,Tier 1,4G,3,71.73,low,0,1
TXN_011723,UPI,Android,Tier 3,Wifi,13,117.04,low,0,1
TXN_011724,Card,Desktop,Tier 2,4G,20,1240.0,med,2,1
TXN_011725,UPI,Desktop,Tier 1,Wifi,17,1647.63,med,2,1
TXN_011726,UPI,Desktop,Tier 1,5G,5,2904.16,high,0,1
TXN_011727,PayLater,iOS,Tier 1,4G,0,1322.59,med,0,0
TXN_011728,Netbanking,Android,Tier 1,4G,9,206.25,low,1,1
TXN_011729,Card,Android,Tier 3,3G,17,281.13,low,0,1
TXN_011730,UPI,Android,Tier 2,5G,18,1015.21,med,2,1
TXN_011731,Card,Android,Tier 2,4G,1,154.15,low,1,0
TXN_011732,UPI,Desktop,Tier 1,4G,14,275.62,low,1,1
TXN_011733,UPI,iOS,Tier 2,4G,2,783.83,med,2,0
TXN_011734,UPI,iOS,Tier 1,Wifi,7,654.32,med,2,0
TXN_011735,Wallet,Android,Tier 1,Wifi,18,867.14,med,2,0
TXN_011736,UPI,Desktop,Tier 2,4G,10,1258.95,med,1,1
TXN_011737,UPI,iOS,Tier 1,4G,13,158.49,low,0,1
TXN_011738,UPI,Android,Tier 2,4G,15,958.29,med,0,1
TXN_011739,UPI,iOS,Tier 3,3G,9,187.3,low,0,1
TXN_011740,Netbanking,Android,Tier 1,5G,16,784.22,med,2,1
TXN_011741,Card,Android,Tier 3,Wifi,14,1834.96,med,3,0
TXN_011742,Netbanking,Android,Tier 1,4G,10,1415.79,med,1,1
TXN_011743,UPI,Android,Tier 1,5G,7,267.09,low,0,1
TXN_011744,UPI,Android,Tier 2,4G,7,234.66,low,2,0
TXN_011745,UPI,Android,Tier 2,Wifi,6,5144.82,high,0,0
TXN_011746,UPI,Desktop,Tier 1,4G,19,2146.59,high,0,1
TXN_011747,UPI,Android,Tier 3,Wifi,11,700.32,med,0,1
TXN_011748,Netbanking,iOS,Tier 3,4G,20,3638.44,high,2,1
TXN_011749,UPI,Android,Tier 1,5G,15,746.26,med,0,1
TXN_011750,UPI,Android,Tier 3,4G,15,13871.38,ultra_high,0,1
TXN_011751,UPI,Android,Tier 2,4G,9,657.07,med,0,1
TXN_011752,UPI,Android,Tier 3,4G,21,17323.68,ultra_high,0,1
TXN_011753,UPI,Android,Tier 1,5G,21,1099.48,med,1,1
TXN_011754,PayLater,Android,Tier 3,4G,6,208.56,low,0,1
TXN_011755,Netbanking,Android,Tier 1,4G,3,934.54,med,0,1
TXN_011756,PayLater,Android,Tier 3,4G,23,2085.64,high,1,0
TXN_011757,UPI,iOS,Tier 2,4G,1,914.67,med,0,1
TXN_011758,UPI,Android,Tier 1,4G,8,445.08,low,0,1
TXN_011759,UPI,Android,Tier 1,4G,14,1233.05,med,3,1
TXN_011760,UPI,Android,Tier 3,4G,21,1906.65,med,0,1
TXN_011761,Netbanking,Android,Tier 2,4G,13,387.82,low,1,0
TXN_011762,UPI,Android,Tier 1,Wifi,11,835.53,med,0,1
TXN_011763,UPI,Desktop,Tier 2,4G,16,270.22,low,0,1
TXN_011764,UPI,iOS,Tier 3,5G,16,1387.3,med,0,1
TXN_011765,UPI,Android,Tier 1,4G,12,291.68,low,0,1
TXN_011766,Card,Android,Tier 1,3G,7,1188.87,med,0,0
TXN_011767,UPI,Android,Tier 3,4G,9,3515.71,high,0,1
TXN_011768,UPI,iOS,Tier 1,Wifi,12,2013.47,high,1,1
TXN_011769,UPI,Android,Tier 1,4G,6,664.73,med,0,1
TXN_011770,UPI,Android,Tier 1,4G,2,186.23,low,2,0
TXN_011771,Netbanking,iOS,Tier 3,4G,23,920.63,med,0,1
TXN_011772,Wallet,iOS,Tier 1,4G,14,575.37,med,0,1
TXN_011773,PayLater,iOS,Tier 2,4G,23,925.95,med,0,0
TXN_011774,Netbanking,iOS,Tier 3,4G,6,1025.69,med,0,1
TXN_011775,UPI,Desktop,Tier 1,Wifi,4,554.75,med,1,1
TXN_011776,Card,Android,Tier 3,4G,7,394.24,low,3,0
TXN_011777,UPI,Android,Tier 2,4G,20,1492.3,med,0,1
TXN_011778,UPI,iOS,Tier 2,5G,16,5674.47,high,2,1
TXN_011779,Netbanking,Android,Tier 1,Wifi,7,1125.5,med,0,1
TXN_011780,UPI,Desktop,Tier 2,4G,6,825.58,med,0,1
TXN_011781,Wallet,Android,Tier 1,5G,6,3087.0,high,0,1
TXN_011782,UPI,Android,Tier 1,4G,1,659.89,med,0,1
TXN_011783,Card,Android,Tier 3,4G,10,4232.46,high,1,1
TXN_011784,Card,Android,Tier 1,4G,11,2339.88,high,0,1
TXN_011785,Wallet,Android,Tier 3,4G,11,33.95,low,0,1
TXN_011786,Card,Android,Tier 1,4G,18,1459.35,med,0,0
TXN_011787,Card,Android,Tier 1,4G,2,432.93,low,0,1
TXN_011788,UPI,iOS,Tier 3,4G,11,2317.44,high,1,1
TXN_011789,UPI,Android,Tier 1,5G,5,129.09,low,0,1
TXN_011790,UPI,Android,Tier 3,5G,5,827.14,med,0,1
TXN_011791,Card,Android,Tier 2,5G,18,733.47,med,0,0
TXN_011792,UPI,Android,Tier 1,5G,20,561.39,med,0,1
TXN_011793,Card,iOS,Tier 2,Wifi,8,3009.51,high,0,1
TXN_011794,UPI,iOS,Tier 1,Wifi,22,26245.98,ultra_high,0,1
TXN_011795,UPI,iOS,Tier 1,Wifi,8,1213.39,med,4,0
TXN_011796,Card,Desktop,Tier 2,4G,17,4394.22,high,0,1
TXN_011797,UPI,Android,Tier 1,4G,9,4484.33,high,0,1
TXN_011798,UPI,Desktop,Tier 1,5G,9,16457.45,ultra_high,0,1
TXN_011799,UPI,iOS,Tier 3,4G,0,2276.13,high,0,1
TXN_011800,PayLater,iOS,Tier 3,4G,17,2416.97,high,0,1
TXN_011801,Card,Android,Tier 2,4G,21,780.43,med,1,0
TXN_011802,UPI,Desktop,Tier 2,3G,9,286.63,low,0,0
TXN_011803,UPI,Android,Tier 2,4G,6,3516.64,high,0,1
TXN_011804,UPI,iOS,Tier 2,4G,7,468.14,low,1,1
TXN_011805,Netbanking,Android,Tier 2,4G,10,81.48,low,0,0
TXN_011806,Card,Android,Tier 3,5G,21,5609.93,high,0,0
TXN_011807,UPI,Android,Tier 1,4G,5,724.72,med,4,1
TXN_011808,UPI,Android,Tier 2,4G,18,1367.45,med,0,1
TXN_011809,UPI,Android,Tier 3,3G,8,240.63,low,1,1
TXN_011810,Card,iOS,Tier 2,5G,10,2537.43,high,1,1
TXN_011811,Netbanking,Android,Tier 3,5G,1,655.13,med,0,0
TXN_011812,UPI,Android,Tier 1,Wifi,10,1113.83,med,4,0
TXN_011813,UPI,Android,Tier 1,4G,4,1895.04,med,0,0
TXN_011814,UPI,Android,Tier 3,5G,18,841.44,med,0,1
TXN_011815,PayLater,Android,Tier 1,4G,16,382.57,low,0,1
TXN_011816,UPI,Android,Tier 2,5G,17,912.72,med,0,1
TXN_011817,Netbanking,Android,Tier 1,4G,21,577.89,med,0,1
TXN_011818,Card,Android,Tier 2,4G,13,35.93,low,0,1
TXN_011819,UPI,Android,Tier 2,4G,9,948.73,med,0,1
TXN_011820,UPI,Android,Tier 1,4G,16,2577.22,high,0,1
TXN_011821,UPI,Android,Tier 2,4G,10,101.85,low,0,1
TXN_011822,Card,Desktop,Tier 2,5G,1,1956.72,med,0,1
TXN_011823,Netbanking,Android,Tier 1,5G,9,1962.62,med,1,1
TXN_011824,Card,Android,Tier 2,4G,20,3834.7,high,1,0
TXN_011825,UPI,Android,Tier 2,4G,0,1273.13,med,1,1
TXN_011826,UPI,Android,Tier 1,5G,13,684.14,med,0,1
TXN_011827,PayLater,Android,Tier 2,5G,10,904.27,med,0,1
TXN_011828,Netbanking,Android,Tier 1,4G,10,764.31,med,0,0
TXN_011829,UPI,Android,Tier 1,5G,9,221.21,low,0,1
TXN_011830,PayLater,Android,Tier 2,Wifi,19,573.79,med,0,1
TXN_011831,Card,Android,Tier 2,4G,20,1621.48,med,0,1
TXN_011832,Card,Android,Tier 3,4G,4,810.66,med,0,0
TXN_011833,Card,Desktop,Tier 1,4G,4,521.12,med,0,0
TXN_011834,Netbanking,Android,Tier 1,Wifi,13,994.77,med,3,1
TXN_011835,Card,Android,Tier 1,4G,4,372.13,low,0,1
TXN_011836,UPI,Desktop,Tier 2,4G,5,1093.71,med,0,1
TXN_011837,UPI,iOS,Tier 2,Wifi,23,1524.1,med,0,1
TXN_011838,Wallet,Android,Tier 2,4G,15,1074.52,med,0,1
TXN_011839,UPI,iOS,Tier 1,5G,22,266.14,low,0,1
TXN_011840,UPI,Android,Tier 3,4G,14,2509.3,high,2,1
TXN_011841,UPI,Android,Tier 2,3G,5,346.85,low,0,1
TXN_011842,UPI,Android,Tier 3,Wifi,19,934.1,med,0,1
TXN_011843,Card,Android,Tier 1,5G,15,4604.78,high,3,1
TXN_011844,Wallet,Android,Tier 2,4G,18,117.15,low,0,1
TXN_011845,UPI,Android,Tier 2,4G,19,327.57,low,1,1
TXN_011846,UPI,Android,Tier 2,5G,12,968.26,med,1,1
TXN_011847,UPI,Android,Tier 1,4G,18,502.29,med,0,1
TXN_011848,Wallet,Android,Tier 3,5G,12,150.41,low,0,1
TXN_011849,Card,Android,Tier 1,5G,7,949.16,med,0,1
TXN_011850,UPI,Android,Tier 1,Wifi,5,64.1,low,0,0
TXN_011851,Netbanking,Android,Tier 2,4G,21,12256.25,ultra_high,3,1
TXN_011852,Netbanking,Desktop,Tier 2,5G,16,2585.13,high,0,1
TXN_011853,Netbanking,Android,Tier 2,5G,4,317.0,low,0,1
TXN_011854,Wallet,Android,Tier 1,4G,7,621.12,med,4,0
TXN_011855,UPI,iOS,Tier 2,Wifi,17,132.62,low,0,1
TXN_011856,Netbanking,Android,Tier 2,4G,18,4593.58,high,0,0
TXN_011857,UPI,iOS,Tier 1,5G,11,1069.79,med,0,1
TXN_011858,Netbanking,Android,Tier 3,Wifi,11,174.83,low,1,1
TXN_011859,Card,Android,Tier 3,4G,12,576.13,med,1,0
TXN_011860,Netbanking,Android,Tier 2,4G,3,2119.44,high,1,0
TXN_011861,Card,Android,Tier 1,4G,9,1757.14,med,1,0
TXN_011862,UPI,Android,Tier 3,5G,15,1773.32,med,1,1
TXN_011863,UPI,iOS,Tier 1,5G,4,1046.13,med,1,1
TXN_011864,PayLater,iOS,Tier 1,4G,11,58.0,low,0,1
TXN_011865,Wallet,Android,Tier 1,5G,15,16968.51,ultra_high,1,1
TXN_011866,UPI,iOS,Tier 1,Wifi,22,592.15,med,0,1
TXN_011867,UPI,Android,Tier 3,Wifi,14,1361.08,med,0,1
TXN_011868,UPI,Android,Tier 2,5G,20,6599.1,high,1,1
TXN_011869,Card,Android,Tier 3,4G,1,1185.4,med,1,1
TXN_011870,Netbanking,iOS,Tier 1,Wifi,22,5239.88,high,0,0
TXN_011871,UPI,Android,Tier 2,4G,15,3596.42,high,0,1
TXN_011872,UPI,Android,Tier 3,5G,10,6054.88,high,0,1
TXN_011873,Netbanking,iOS,Tier 3,5G,21,1882.23,med,0,1
TXN_011874,Card,Android,Tier 2,4G,8,616.26,med,0,1
TXN_011875,UPI,Android,Tier 1,4G,1,500.71,med,1,1
TXN_011876,Card,Android,Tier 2,4G,17,7940.98,high,0,1
TXN_011877,UPI,Android,Tier 1,4G,12,727.7,med,0,0
TXN_011878,UPI,Android,Tier 2,4G,12,2856.57,high,0,0
TXN_011879,Card,Desktop,Tier 2,Wifi,7,436.4,low,0,1
TXN_011880,Card,Android,Tier 2,4G,9,566.04,med,0,1
TXN_011881,Wallet,Android,Tier 2,4G,16,1109.03,med,1,1
TXN_011882,Card,Android,Tier 2,4G,23,532.99,med,0,0
TXN_011883,Netbanking,Android,Tier 1,4G,20,423.75,low,1,1
TXN_011884,UPI,Android,Tier 2,4G,0,630.66,med,0,1
TXN_011885,UPI,Desktop,Tier 2,4G,15,2188.34,high,1,1
TXN_011886,UPI,Android,Tier 1,4G,10,494.7,low,1,1
TXN_011887,UPI,Android,Tier 1,4G,0,933.26,med,1,1
TXN_011888,Card,Android,Tier 1,4G,5,6933.28,high,0,1
TXN_011889,PayLater,Android,Tier 2,Wifi,11,1738.29,med,1,1
TXN_011890,UPI,iOS,Tier 3,4G,15,4418.9,high,0,1
TXN_011891,UPI,iOS,Tier 1,4G,10,1256.57,med,0,1
TXN_011892,Netbanking,Android,Tier 2,Wifi,17,781.5,med,0,1
TXN_011893,UPI,Desktop,Tier 2,5G,1,5637.7,high,0,1
TXN_011894,Card,Android,Tier 1,4G,16,181.79,low,0,0
